Date : 2021-09-30 02:09:02
Directory : d:\REACT\ExpoApp-frontend2\frontend
Total : 290 files,  54800 codes, 719 comments, 2185 blanks, all 57704 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| desktop\src\renderer\src\scss\volt\themes                                                                               |          3 |          0 |          0 |          3 |          3 |
| desktop\src\renderer\src\scss\volt\utilities                                                                            |          8 |        391 |         39 |         81 |        511 |
| desktop\src\renderer\src\scss\volt\vendor                                                                               |          8 |        717 |         47 |        133 |        897 |
| desktop\src\renderer\src\scss\volt\vendor\chartist                                                                      |          2 |        255 |         30 |         57 |        342 |
| desktop\src\renderer\src\scss\volt\vendor\chartist\settings                                                             |          1 |         62 |         16 |         12 |         90 |
| desktop\src\renderer\src\scss\volt\vendor\wizard                                                                        |          3 |        269 |         10 |         45 |        324 |
| desktop\tools                                                                                                           |          1 |          0 |          0 |          1 |          1 |
| desktop\tools\docker                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| desktop\webpack                                                                                                         |          4 |        110 |          0 |          5 |        115 |
| web                                                                                                                     |          8 |     32,908 |         52 |         38 |     32,998 |
| web\public                                                                                                              |          1 |         20 |          0 |          4 |         24 |
| web\src                                                                                                                 |          4 |        268 |         47 |         26 |        341 |
| web\tools                                                                                                               |          1 |          8 |          5 |          6 |         19 |
| web\tools\docker                                                                                                        |          1 |          8 |          5 |          6 |         19 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\REACT\ExpoApp-frontend2\frontend\desktop\TODO.md                                                                     | Markdown   |          4 |          0 |          1 |          5 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\package.json                                                                | JSON       |        108 |          0 |          1 |        109 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\main\index.js                                                           | JavaScript |         16 |          0 |          4 |         20 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\mockserver\DB.json                                                      | JSON       |         51 |          0 |          1 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\mockserver\Range.js                                                     | JavaScript |          5 |          0 |          0 |          5 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\index.html                                                     | HTML       |         12 |          0 |          0 |         12 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\index.js                                                       | JavaScript |         14 |          3 |          5 |         22 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\public\browserconfig.xml                                       | XML        |          9 |          0 |          1 |         10 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\public\index.html                                              | HTML       |         51 |         30 |          9 |         90 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\public\manifest.json                                           | JSON       |         20 |          0 |          1 |         21 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\public\safari-pinned-tab.svg                                   | XML        |         39 |          0 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\public\site.webmanifest                                        | JSON       |         19 |          0 |          1 |         20 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\domain.js                                           | JavaScript |          1 |          0 |          1 |          2 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\brand\dark.svg                                  | XML        |         12 |          1 |          1 |         14 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\brand\light.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\favicon\browserconfig.xml                       | XML        |          9 |          0 |          1 |         10 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\favicon\manifest.json                           | JSON       |         20 |          0 |          1 |         21 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\favicon\safari-pinned-tab.svg                   | XML        |         39 |          0 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\favicon\site.webmanifest                        | JSON       |         19 |          0 |          1 |         20 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\aland-islands.svg                         | XML        |         48 |          1 |          1 |         50 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\albania.svg                               | XML        |         42 |          1 |          1 |         44 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\algeria.svg                               | XML        |         43 |          1 |          1 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\american-samoa.svg                        | XML        |         47 |          1 |          1 |         49 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\anguilla.svg                              | XML        |         66 |          1 |          1 |         68 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\argentina.svg                             | XML        |         42 |          1 |          1 |         44 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\armenia.svg                               | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\australia.svg                             | XML        |         67 |          1 |          1 |         69 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\austria.svg                               | XML        |         40 |          1 |          1 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\azerbaijan.svg                            | XML        |         46 |          1 |          1 |         48 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\bahrain.svg                               | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\belarus.svg                               | XML        |         49 |          1 |          1 |         51 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\belgium.svg                               | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\bolivia.svg                               | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\bosnia-and-herzegovina.svg                | XML        |         50 |          1 |          1 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\botswana.svg                              | XML        |         45 |          1 |          1 |         47 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\brazil.svg                                | XML        |         44 |          1 |          1 |         46 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\bulgaria.svg                              | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\cambodia.svg                              | XML        |         43 |          1 |          1 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\cameroon.svg                              | XML        |         40 |          1 |          1 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\canada.svg                                | XML        |         42 |          1 |          1 |         44 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\chile.svg                                 | XML        |         39 |          1 |          1 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\china.svg                                 | XML        |         21 |          1 |          1 |         23 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\colombia.svg                              | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\costa-rica.svg                            | XML        |         41 |          1 |          1 |         43 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\croatia.svg                               | XML        |         65 |          1 |          1 |         67 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\cuba.svg                                  | XML        |         48 |          1 |          1 |         50 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\cyprus.svg                                | XML        |         42 |          1 |          1 |         44 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\czech-republic.svg                        | XML        |         39 |          1 |          1 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\denmark.svg                               | XML        |         44 |          1 |          1 |         46 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\ecuador.svg                               | XML        |         45 |          1 |          1 |         47 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\egypt.svg                                 | XML        |         41 |          1 |          1 |         43 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\estonia.svg                               | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\ethiopia.svg                              | XML        |         47 |          1 |          1 |         49 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\finland.svg                               | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\france.svg                                | XML        |         37 |          1 |          1 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\georgia.svg                               | XML        |         49 |          1 |          1 |         51 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\germany.svg                               | XML        |         39 |          1 |          1 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\greece.svg                                | XML        |         45 |          1 |          1 |         47 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\haiti.svg                                 | XML        |         42 |          1 |          1 |         44 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\hong-kong.svg                             | XML        |         49 |          1 |          1 |         51 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\hungary.svg                               | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\iceland.svg                               | XML        |         46 |          1 |          1 |         48 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\india.svg                                 | XML        |         41 |          1 |          1 |         43 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\indonesia.svg                             | XML        |         36 |          1 |          1 |         38 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\iran.svg                                  | XML        |         45 |          1 |          1 |         47 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\iraq.svg                                  | XML        |         47 |          1 |          1 |         49 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\ireland.svg                               | XML        |         37 |          1 |          1 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\israel.svg                                | XML        |         46 |          1 |          1 |         48 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\italy.svg                                 | XML        |         37 |          1 |          1 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\ivory-coast.svg                           | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\japan.svg                                 | XML        |         36 |          1 |          1 |         38 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\kazakhstan.svg                            | XML        |         43 |          1 |          1 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\kuwait.svg                                | XML        |         39 |          1 |          1 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\latvia.svg                                | XML        |         39 |          1 |          1 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\liechtenstein.svg                         | XML        |         40 |          1 |          1 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\lithuania.svg                             | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\luxembourg.svg                            | XML        |         37 |          1 |          1 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\malaysia.svg                              | XML        |         51 |          1 |          1 |         53 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\mexico.svg                                | XML        |         45 |          1 |          1 |         47 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\mongolia.svg                              | XML        |         50 |          1 |          1 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\montenegro.svg                            | XML        |         51 |          1 |          1 |         53 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\nauru.svg                                 | XML        |         43 |          1 |          1 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\netherlands.svg                           | XML        |         37 |          1 |          1 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\nicaragua.svg                             | XML        |         45 |          1 |          1 |         47 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\nigeria.svg                               | XML        |         39 |          1 |          1 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\norway.svg                                | XML        |         46 |          1 |          1 |         48 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\pakistan.svg                              | XML        |         48 |          1 |          1 |         50 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\panama.svg                                | XML        |         41 |          1 |          1 |         43 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\paraguay.svg                              | XML        |         43 |          1 |          1 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\peru.svg                                  | XML        |         39 |          1 |          1 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\philippines.svg                           | XML        |         50 |          1 |          1 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\portugal.svg                              | XML        |         43 |          1 |          1 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\puerto-rico.svg                           | XML        |         45 |          1 |          1 |         47 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\republic-of-macedonia.svg                 | XML        |         47 |          1 |          1 |         49 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\republic-of-poland.svg                    | XML        |         36 |          1 |          1 |         38 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\romania.svg                               | XML        |         41 |          1 |          1 |         43 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\russia.svg                                | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\serbia.svg                                | XML        |         54 |          1 |          1 |         56 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\singapore.svg                             | XML        |         51 |          1 |          1 |         53 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\slovakia.svg                              | XML        |         49 |          1 |          1 |         51 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\slovenia.svg                              | XML        |         40 |          1 |          1 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\south-africa.svg                          | XML        |         45 |          1 |          1 |         47 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\south-korea.svg                           | XML        |         56 |          1 |          1 |         58 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\spain.svg                                 | XML        |         40 |          1 |          1 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\sri-lanka.svg                             | XML        |         47 |          1 |          1 |         49 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\sweden.svg                                | XML        |         44 |          1 |          1 |         46 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\switzerland.svg                           | XML        |         37 |          1 |          1 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\taiwan.svg                                | XML        |         43 |          1 |          1 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\thailand.svg                              | XML        |         41 |          1 |          1 |         43 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\tunisia.svg                               | XML        |         43 |          1 |          1 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\turkey.svg                                | XML        |         42 |          1 |          1 |         44 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\ukraine.svg                               | XML        |         36 |          1 |          1 |         38 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\united-arab-emirates.svg                  | XML        |         39 |          1 |          1 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\united-kingdom.svg                        | XML        |         60 |          1 |          1 |         62 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\united-states-of-america.svg              | XML        |         52 |          1 |          1 |         54 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\united-states.svg                         | XML        |         52 |          1 |          1 |         54 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\uruguay.svg                               | XML        |         50 |          1 |          1 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\venezuela.svg                             | XML        |         56 |          1 |          1 |         58 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\flags\vietnam.svg                               | XML        |         37 |          1 |          1 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\icons\github.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\icons\google-tag-manager.svg                    | XML        |         17 |          1 |          1 |         19 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\icons\google_analytics.svg                      | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\illustrations\404.svg                           | XML        |        253 |          1 |          1 |        255 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\illustrations\500.svg                           | XML        |        237 |          1 |          6 |        244 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\illustrations\bs5-illustrations.svg             | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\illustrations\signin.svg                        | XML        |      2,316 |          1 |         16 |      2,333 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\marker.svg                                      | XML        |          2 |          0 |          0 |          2 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\paypal-logo.svg                                 | XML        |         68 |          1 |          1 |         70 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\technologies\bootstrap-5-logo.svg               | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\technologies\laravel-logo.svg                   | XML        |          1 |          0 |          1 |          2 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\technologies\logo.svg                           | XML        |         36 |          0 |          2 |         38 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\technologies\react-hero-logo.svg                | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\technologies\react-logo-primary.svg             | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\technologies\react-logo-transparent.svg         | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\technologies\react-logo.svg                     | XML        |         38 |          1 |          1 |         40 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\technologies\vuejs-logo.svg                     | XML        |          8 |          0 |          1 |          9 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\themesberg-logo.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\img\themesberg.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\syntax-themes\ghcolors.json                         | JSON       |        104 |          0 |          0 |        104 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\assets\syntax-themes\xonokai.json                          | JSON       |        121 |          0 |          0 |        121 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\AccomomdationTable.js                           | JavaScript |          8 |          0 |          2 |         10 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\AccordionComponent.js                           | JavaScript |         29 |          0 |          4 |         33 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Charts.js                                       | JavaScript |        146 |          5 |         23 |        174 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Code.js                                         | JavaScript |         41 |          0 |         10 |         51 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\CodeEditor.js                                   | JavaScript |         63 |          0 |         13 |         76 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Documentation.js                                | JavaScript |         25 |          0 |          6 |         31 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\FetchData.js                                    | JavaScript |        110 |          0 |         12 |        122 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Footer.js                                       | JavaScript |         26 |          0 |          6 |         32 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Forms.js                                        | JavaScript |        169 |          0 |          6 |        175 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Lock.js                                         | JavaScript |        593 |         11 |         29 |        633 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Navbar.js                                       | JavaScript |         93 |         25 |          5 |        123 |
